"c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie...","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments...","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura...","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET...","c..Ice.sheet.initiation.and.climatic.influences.of.expanded.snow.cover.in.Arctic.Canada...","c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie....1","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments....1","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura....1","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET....1"
"The fauna of bats from the Upper Pleistocene locality of Santenay (Côte-d'Or, France).","The Late Pleistocene fauna with Pliomys lenki from the Ghiacciaia cave loess (northern Italy)","Late Pleistocene Vertebrate, Plant and Insect Remains from the lnnerkip Site, Southwestern Ontario","Late Pleistocene Glaciers and the Climate of Western Montana, U.S.A.","Late Pleistocene Snakes from Fowlkes Cave, Culberson County, Texas","The fauna of bats from the Upper Pleistocene locality of Santenay (Côte-d'Or, France).","The Late Pleistocene fauna with Pliomys lenki from the Ghiacciaia cave loess (northern Italy)","Late Pleistocene Vertebrate, Plant and Insect Remains from the lnnerkip Site, Southwestern Ontario","Late Pleistocene Glaciers and the Climate of Western Montana, U.S.A."
"Environmental, ecological, and paleoanthropological implications of the late Pleistocene mammalian fauna from Equus Cave, northern Cape Province, South Africa","For the sake of the creek : land and water use in the Rock Creek Basin & the effort to preserve the resource / prepared for the Rock Creek Advisory Council by the Montana Watercourse ; written by Margaret L. Knox, with assistance from Susan Higgins, Richard Opper.","Delineation of Favorable Areas for EOR From Differential Oil-in- Place Calculations in Bell Creek Field, Montana","Ecological Succession in the Pleistocene in Glacier National Park, Montana, in Relation to Current Successional Stages in the Western Mountains of the U.S.","Late Pleistocene Vegetation and Climate Near Melaleuca Inlet, South-Western Tasmania","Environmental, ecological, and paleoanthropological implications of the late Pleistocene mammalian fauna from Equus Cave, northern Cape Province, South Africa","For the sake of the creek : land and water use in the Rock Creek Basin & the effort to preserve the resource / prepared for the Rock Creek Advisory Council by the Montana Watercourse ; written by Margaret L. Knox, with assistance from Susan Higgins, Richard Opper.","Delineation of Favorable Areas for EOR From Differential Oil-in- Place Calculations in Bell Creek Field, Montana","Ecological Succession in the Pleistocene in Glacier National Park, Montana, in Relation to Current Successional Stages in the Western Mountains of the U.S."
"War, Peace, and the Viet Cong","Life History and Ecology of Paragnetina media (Walker) (Insecta: Plecoptera) in Doe Run, Meade County, Kentucky","Burkitt's Lymphoma: A Time-space Cluster of Cases in Bwanba County of Uganda","Propertius, Petrarch and Scéve","Foreword","War, Peace, and the Viet Cong","Life History and Ecology of Paragnetina media (Walker) (Insecta: Plecoptera) in Doe Run, Meade County, Kentucky","Burkitt's Lymphoma: A Time-space Cluster of Cases in Bwanba County of Uganda","Propertius, Petrarch and Scéve"
"Early Human Cultural and Skeletal Remains from Guitarrero Cave, Northern Peru","The Tiraspol faunal complex","Faunal Provinces in the Ordovician of North Atlantic Areas","A Faunal History of the North Atlantic Ocean","Faunal variation on pelagic Sargassum","Early Human Cultural and Skeletal Remains from Guitarrero Cave, Northern Peru","The Tiraspol faunal complex","Faunal Provinces in the Ordovician of North Atlantic Areas","A Faunal History of the North Atlantic Ocean"
"Chromosomal homology of wood bison and plains bison","The Landscape of “The Great Plains Experience”","Atlas of the Flora of the Great Plains.","Great Plains Command: William B. Hazen in the Frontier West","Ethnic Group Settlement on the Great Plains","Chromosomal homology of wood bison and plains bison","The Landscape of “The Great Plains Experience”","Atlas of the Flora of the Great Plains.","Great Plains Command: William B. Hazen in the Frontier West"
"Earth pillar formation on the Mountain Pine Ridge, Belize","Basic Needs-Water Delivery System in Mountainous Regions of Ghana: A Case Study of Piped Water Supply on the Akwapim Ridge","The Human Impact on the Natural Environment of the Mbeya Highlands, Tanzania","Frontogenesis over a Mountain Ridge","Anelastic Semigeostrophic Flow over a Mountain Ridge","Earth pillar formation on the Mountain Pine Ridge, Belize","Basic Needs-Water Delivery System in Mountainous Regions of Ghana: A Case Study of Piped Water Supply on the Akwapim Ridge","The Human Impact on the Natural Environment of the Mbeya Highlands, Tanzania","Frontogenesis over a Mountain Ridge"
"Further Excavations in the Iron Age Deposits at the Tunnel Site, Gokomere Hill, Southern Rhodesia","Excavations at Tall-i-Nokhodi","Excavations at Pasargadae: First Preliminary Report","The Excavations at Nimrud (Kal<U+1E2B>u), 1962","Excavations at Catal Huyuk, 1962: Second Preliminary Report","Further Excavations in the Iron Age Deposits at the Tunnel Site, Gokomere Hill, Southern Rhodesia","Excavations at Tall-i-Nokhodi","Excavations at Pasargadae: First Preliminary Report","The Excavations at Nimrud (Kal<U+1E2B>u), 1962"
"The Tutu Archaeological Village Site","The ratio between molecular variants of pregnancy-specific ß1 glycoprotein (SP1) in the peripheral and retroplacental circulation during late pregnancy","Molecular heterogeneity of placental protein 5 (pp5) in late pregnancy serum and plasma: evidence for a heparin-pp5 polymer","A pedological investigation of an archaeological site in Ontario, Canada, I. An examination of the soils in and adjacent to a former village","Settlement Pattern at the Le Caron Site, a 17th Century Huron Village","The Tutu Archaeological Village Site","The ratio between molecular variants of pregnancy-specific ß1 glycoprotein (SP1) in the peripheral and retroplacental circulation during late pregnancy","Molecular heterogeneity of placental protein 5 (pp5) in late pregnancy serum and plasma: evidence for a heparin-pp5 polymer","A pedological investigation of an archaeological site in Ontario, Canada, I. An examination of the soils in and adjacent to a former village"
"Site Structure of a Village of the Late Pithouse-Early Pueblo Period in New Mexico","Site Structure of a Village of the Late Pithouse-Early Pueblo Period in New Mexico","Abortion News in the Late 1920s: A New York City Case Study","The Tutu Archaeological Village Site","The Borderlands: Essays on the History of the Ulster-Leinster Border","Site Structure of a Village of the Late Pithouse-Early Pueblo Period in New Mexico","Site Structure of a Village of the Late Pithouse-Early Pueblo Period in New Mexico","Abortion News in the Late 1920s: A New York City Case Study","The Tutu Archaeological Village Site"
"Introduction to Environmental Virology","Haïtuvois suivi de Antillades","Le Mât de Cocagne","","Introduction to Environmental Virology","Haïtuvois suivi de Antillades","Le Mât de Cocagne","","Introduction to Environmental Virology"
"Critical evaluation of some equilibrium constants involving acidic organophosphorus extractants","Late-glacial vegetation associated with caribou and mastodon in central Indiana","Colour and turbidity removal with reusable magnetic particles—III immobilized metal hydroxide gels","The effect of ultraviolet light on the mechanical properties of polyethylene and polypropylene films","X-ray microanalysis of animal tissues by means of the field emission-scanning electron microscope","Critical evaluation of some equilibrium constants involving acidic organophosphorus extractants","Late-glacial vegetation associated with caribou and mastodon in central Indiana","Colour and turbidity removal with reusable magnetic particles—III immobilized metal hydroxide gels","The effect of ultraviolet light on the mechanical properties of polyethylene and polypropylene films"
"SCAPE Charts from Numerical Weather Prediction Model Fields","<U+96EA><U+666F><U+753B><U+306E><U+8003><U+5BDF><U+304B><U+3089><U+307F><U+305F><U+96EA><U+898B><U+306E><U+5BFE><U+8C61><U+3068><U+306A><U+308B><U+98A8><U+666F><U+306E><U+69CB><U+6210><U+624B><U+6CD5>","The Method of Composing the Objects for Snow-watching through a Study of Snow-scape Pictures","Acute Myocardial Infarction","Hip Fracture","Breast Cancer","SCAPE Charts from Numerical Weather Prediction Model Fields","<U+96EA><U+666F><U+753B><U+306E><U+8003><U+5BDF><U+304B><U+3089><U+307F><U+305F><U+96EA><U+898B><U+306E><U+5BFE><U+8C61><U+3068><U+306A><U+308B><U+98A8><U+666F><U+306E><U+69CB><U+6210><U+624B><U+6CD5>","The Method of Composing the Objects for Snow-watching through a Study of Snow-scape Pictures"
"Conservation Techniques: Piecing together the past","Telecommunications: Research for the future","NSAID Treatment of Ankle Sprains","Hypertension Resistant to Chlorthalidone or SR Metoprolol","Announcement","Conservation Techniques: Piecing together the past","Telecommunications: Research for the future","NSAID Treatment of Ankle Sprains","Hypertension Resistant to Chlorthalidone or SR Metoprolol"
"QUARTER NOTES","Visco-lelastic properties of four currently used tissue conditioners","Mutagenic SOS repair of site-specific psoralen damage in plasmid pBR322","Current papers in nuclear energyD. Gld 275","Vergleichende Langzeitspektraluntersuchungen der Stimme mit Hilfe des Lombard-Effekts","QUARTER NOTES","Visco-lelastic properties of four currently used tissue conditioners","Mutagenic SOS repair of site-specific psoralen damage in plasmid pBR322","Current papers in nuclear energyD. Gld 275"
"Meeting Report: Fibre friction mechanisms","Meeting Report: Collective models","Conference Report: Building on semiconductor devices","THE ABCs OF SPORTS MEDICINE By James McMaster, MD, Malabar, FL: Krieger Publishing Co., 1982, 364 pp., $16.50, hardcover","Refinement of structures previously proposed for gum arabic and other acacia gum exudates","Meeting Report: Fibre friction mechanisms","Meeting Report: Collective models","Conference Report: Building on semiconductor devices","THE ABCs OF SPORTS MEDICINE By James McMaster, MD, Malabar, FL: Krieger Publishing Co., 1982, 364 pp., $16.50, hardcover"
"Preliminary geology, paleontology and paleoecology of a sangoan site at Andalee, Middle Awash Valley, Ethiopia","Geotechnical Instrumentation and Data Acquisition System for Site and Preliminary Design Validation at the DOE Waste Isolation Pilot Plant, Eddy County, NM","Ring-Fort Settlement in County Louth: Sources, Pattern and Landscapes","Prehistoric Rock Inscriptions near Dundalk, County Louth","Cholera in County Louth, 1832-39","Preliminary geology, paleontology and paleoecology of a sangoan site at Andalee, Middle Awash Valley, Ethiopia","Geotechnical Instrumentation and Data Acquisition System for Site and Preliminary Design Validation at the DOE Waste Isolation Pilot Plant, Eddy County, NM","Ring-Fort Settlement in County Louth: Sources, Pattern and Landscapes","Prehistoric Rock Inscriptions near Dundalk, County Louth"
"Annotated prairie dog bibliography, 1973 to 1985 /","Flora and Fauna Associated with Prairie Dog Colonies and Adjacent Ungrazed Mixed-Grass Prairie in Western South Dakota","A comparison of hibernation in the black-tailed prairie dog, white-tailed prairie dog, and Wyoming ground squirrel","Fecal Excretion of Water, Fat and Bile Salts after Ileal Resection and Cholecystectomy in the Prairie Dog","Efficacy of Zinc Phosphide and Strychnine for Black-Tailed Prairie Dog Control","Annotated prairie dog bibliography, 1973 to 1985 /","Flora and Fauna Associated with Prairie Dog Colonies and Adjacent Ungrazed Mixed-Grass Prairie in Western South Dakota","A comparison of hibernation in the black-tailed prairie dog, white-tailed prairie dog, and Wyoming ground squirrel","Fecal Excretion of Water, Fat and Bile Salts after Ileal Resection and Cholecystectomy in the Prairie Dog"
": Faunal Remains from Klasies River Mouth . Lewis R. Binford.","Faunal remains from klasies river mouth","Faunal Remains from the Early Iron Age Site on Mount Ebal","Faunal Remains from Jubilee Shelter, Transvaal","Faunal remains from radiocarbon-dated soils within landslip debris from The Undercliff, Isle of Wight, Southern England",": Faunal Remains from Klasies River Mouth . Lewis R. Binford.","Faunal remains from klasies river mouth","Faunal Remains from the Early Iron Age Site on Mount Ebal","Faunal Remains from Jubilee Shelter, Transvaal"
": Faunal Remains from Klasies River Mouth . Lewis R. Binford.","Faunal remains from klasies river mouth","Faunal Remains from the Early Iron Age Site on Mount Ebal","Faunal Remains from Jubilee Shelter, Transvaal","Faunal remains from radiocarbon-dated soils within landslip debris from The Undercliff, Isle of Wight, Southern England",": Faunal Remains from Klasies River Mouth . Lewis R. Binford.","Faunal remains from klasies river mouth","Faunal Remains from the Early Iron Age Site on Mount Ebal","Faunal Remains from Jubilee Shelter, Transvaal"
": Faunal Remains from Klasies River Mouth . Lewis R. Binford.","Faunal remains from klasies river mouth","Faunal Remains from the Early Iron Age Site on Mount Ebal","Faunal Remains from Jubilee Shelter, Transvaal","Faunal remains from radiocarbon-dated soils within landslip debris from The Undercliff, Isle of Wight, Southern England",": Faunal Remains from Klasies River Mouth . Lewis R. Binford.","Faunal remains from klasies river mouth","Faunal Remains from the Early Iron Age Site on Mount Ebal","Faunal Remains from Jubilee Shelter, Transvaal"
"Chronique. Prospections aériennes","The Role of Microfloral and Faunal Interactions in Affecting Soil Processes","Souvenir de Miguel de Unamuno (1936-1986): inédits épistolaires et iconographiques relatifs à ses liens avec Maurice Legendre et la Casa de Velázquez","Livres espagnols publiés avant 1700 conservés à la bibliothèque de la casa de Velázquez","Systèmes d'élevage et mise en valeur du milieu: étude des dehesas de la sierra norte de Séville","Chronique. Prospections aériennes","The Role of Microfloral and Faunal Interactions in Affecting Soil Processes","Souvenir de Miguel de Unamuno (1936-1986): inédits épistolaires et iconographiques relatifs à ses liens avec Maurice Legendre et la Casa de Velázquez","Livres espagnols publiés avant 1700 conservés à la bibliothèque de la casa de Velázquez"
"Late Pleistocene and Early Holocene Vertebrates and Paleoenvironments on the Southern High Plains, U.S.A.","A Late Pleistocene-Holocene Fauna from Chihuahua, Mexico"," Tasmanian Native-hen Gallinula mortierii : The First Late Pleistocene Record From Queensland ","Late Pleistocene molluscan assemblages from the coral reefs of the Kenya coast","Late Pleistocene palaeotemperature record from a Tasmanian speleothem","Late Pleistocene and Early Holocene Vertebrates and Paleoenvironments on the Southern High Plains, U.S.A.","A Late Pleistocene-Holocene Fauna from Chihuahua, Mexico"," Tasmanian Native-hen Gallinula mortierii : The First Late Pleistocene Record From Queensland ","Late Pleistocene molluscan assemblages from the coral reefs of the Kenya coast"
